;;;
Jumlah Cabang;NO;LOKASI;PELAYANAN LLP
;100;Cabang Pembantu Ketapang;1. Aerodrome Control Services
;101;Unit Sintang;1. Aerodrome Flight Information Services (AFIS)
;102;Unit Putussibau;1. Aerodrome Flight Information Services (AFIS)
;103;Unit Nanga Pinoh;1. Aerodrome Flight Information Services (AFIS)
;104;Unit Sambas;Exemption
;105;Unit Harapan, Manis Mata;Exemption
;106;Unit Semelagi;1. Aerodrome Flight Information Services (AFIS)
;107;Unit Singkawang;1. Aerodrome Flight Information Services (AFIS)
11;108;Cabang  Banda Aceh;1. Approach Control Procedural and Aerodrome Control Services Combined
;109;Unit Meulaboh;1. Aerodrome Flight Information Services (AFIS)
;110;Unit Sinabang;1. Aerodrome Flight Information Services (AFIS)
;111;Unit Takengon;1. Aerodrome Flight Information Services (AFIS)
;112;Unit Tapak Tuan;1. Aerodrome Flight Information Services (AFIS)
;113;Unit Sabang;1. Aerodrome Flight Information Services (AFIS)
;114;Unit Singkil;CTAF
;115;Unit Kutacane;CTAF
;116;Unit Blang Pidi;Exemption
;117;Unit Lhok Seumawe;1. Aerodrome Flight Information Services (AFIS)
;118;Unit Gayo Lues;CTAF
12;119;Cabang  Pekanbaru;"1. Aerodrome Control Services
2. Approach Control Surveillance/Approach Control Procedural"
;120;Cabang Pembantu Rengat;1. Aerodrome Control Services
;121;Unit Pasir Pangaraian;1. Aerodrome Flight Information Services (AFIS)
;122;Unit Indragiri Hilir;Exemption
;123;Unit Dumai;
;124;Unit Pelalawan;1. Aerodrome Flight Information Services (AFIS)
;125;Cabang Pembantu Padang;1. Aerodrome Control Services
;126;Unit Rokot Sipora;1. Aerodrome Flight Information Services (AFIS)
;127;Unit Pasaman Barat;Exemption
13;128;Cabang  Tanjung Pinang;"1. Aerodrome Control Services
2. Approach Control Surveillance/Approach Control Procedural"
;129;Cabang Pembantu Batam;1. Aerodrome Control Services
;130;Unit Singkep;1. Aerodrome Flight Information Services (AFIS)
;131;Unit Tanjung Balai Karimun;1. Aerodrome Flight Information Services (AFIS)
;132;Unit Bintan;Exemption
;133;Cabang Pembantu Natuna;1. Aerodrome Control Services
;134;Unit Anambas (Tanjung Pinang);1. Aerodrome Flight Information Services (AFIS)
;135;Unit Matak;1. Aerodrome Control Services
;136;Unit Tambelan;1. Aerodrome Flight Information Services (AFIS)
14;137;Cabang  Halim;1. Aerodrome Control Services
;138;Cabang Pembantu Curug;1. Approach Control Procedural and Aerodrome Control Services Combined
;139;Unit Pondok Cabe;
15;140;Cabang  Bandung;"1. Aerodrome Control Services
2. Approach Control Procedural Services"
;141;Cabang Pembantu Cirebon;1. Aerodrome Control Services
;142;Unit Pangandaran;1. Aerodrome Control Services
;143;Unit Tasikmalaya;1. Aerodrome Control Services
;144;Unit Kertajati;1. Approach Control Procedural and Aerodrome Control Services Combined
16;145;Cabang  Semarang;"1. Aerodrome Control Services
2. Approach Control Procedural"
;146;Unit Karimun Jawa;1. Aerodrome Flight Information Services (AFIS)
;147;Unit Purbalingga;1. Aerodrome Flight Information Services (AFIS)
17;148;Cabang  Banjarmasin;"1. Aerodrome Control Services
2. Approach Control Procedural"
;149;Cabang Pembantu Pangkalan Bun;1. Approach Control Procedural and Aerodrome Control Services Combined
;150;Cabang Pembantu Sampit;1. Aerodrome Control Services
;151;Unit Kota Baru;1. Aerodrome Flight Information Services (AFIS)
;152;Unit Kuala Pembuang;1. Aerodrome Flight Information Services (AFIS)
;153;Unit Batu Licin;
;154;Unit Tanjung Warukin;CTAF
18;155;Cabang  Palangkaraya;1. Approach Control Procedural and Aerodrome Control Services Combined
;156;Unit Muara Teweh;1. Aerodrome Flight Information Services (AFIS)
;157;Unit Kuala Kurun;1. Aerodrome Flight Information Services (AFIS)
;158;Unit Buntok;1. Aerodrome Flight Information Services (AFIS)
;159;Unit Tumbang Samba;CTAF
;160;Unit Puruk Cahu;Exemption
19;161;Cabang  Tarakan;"1. Aerodrome Control Services
2. Approach Control Procedural"
;162;Cabang Pembantu Malinau;1. Aerodrome Control Services
;163;Unit Nunukan;1. Aerodrome Flight Information Services (AFIS)
;164;Unit Long Bawan;1. Aerodrome Flight Information Services (AFIS)
;165;Unit Long Ampung;1. Aerodrome Flight Information Services (AFIS)
;166;Unit Tanjung Harapan;1. Aerodrome Flight Information Services (AFIS)
;167;Unit Long Layu;Exemption
;168;Unit Binuang;Exemption
20;169;Cabang  Manado;"1. Aerodrome Control Services
2. Approach Control Procedural"
;170;Cabang Pembantu Ternate;1. Approach Control Procedural and Aerodrome Control Services Combined
;171;Cabang Pembantu Gorontalo;1. Approach Control Procedural and Aerodrome Control Services Combined
;172;Unit Labuha;1. Aerodrome Flight Information Services (AFIS)
;173;Unit Morotai;1. Aerodrome Flight Information Services (AFIS)
;174;Unit Melonguane;1. Aerodrome Flight Information Services (AFIS)
;175;Unit Kao;1. Aerodrome Flight Information Services (AFIS)
;176;Unit Galela;1. Aerodrome Flight Information Services (AFIS)
;177;Unit Buli Maba;1. Aerodrome Flight Information Services (AFIS)
;178;Unit Sanana;1. Aerodrome Flight Information Services (AFIS)
;179;Unit Tahuna ;1. Aerodrome Flight Information Services (AFIS)
;180;Unit Halmahera Tengah;CTAF
;181;Unit Manggole Kep. Sola;Exemption
;182;Unit Miangas;1. Aerodrome Flight Information Services (AFIS)
;183;Unit Siau;1. Aerodrome Flight Information Services (AFIS)
;184;Unit Bolaang Mongondow;CTAF
;185;Unit Pohuwato;CTAF
;186;Unit Weda Tengah;
21;187;Cabang  Kendari;"1. Aerodrome Control Services
2. Approach Control Procedural"
;188;Unit Wakatobi;1. Aerodrome Flight Information Services (AFIS)
;189;Unit Bau Bau;1. Aerodrome Flight Information Services (AFIS)
